X,Y,id,WaterBody,Town,County,Owner,Manager,AccessType,BoatSize,RampType,UniversalAccess,BulletinBoard,Exposure,Parking,Shorefishing,UseVolume,Dock,WinterPlowing,SummerPortolet,WinterPortolet,TempPortolet,AccessName,Bowfin,Carp,ChannelCatfish,WhiteCrappie,LongnoseGar,Muskellunge,WhitePerch,AmericanShad,Sheepshead,LakeWhitefish,BrookTrout,BrownTrout,RainbowTrout,LakeTrout,LandlockedSalmon,RainbowSmelt,YellowPerch,Walleye,NorthernPike,ChainPickerel,LargemouthBass,SmallmouthBass,Bullhead,Panfish,BlackCrappie,Burbot,Directions,CoordX,CoordY,LakeArea,MaximumDepth,ESRI_OID
-72.1515,44.8797,1,Brownington Pond,Brownington,Orleans,F&W,F&W,Boating/Fishing,Medium,Concrete Plank,No,No,Protected,Medium,All Year,Light,No,No,No,No,No,Brownington Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,"Take Interstate 91 to Exit 27 in Derby.   Turn East onto Cross Rd (VT Route 191).  Follow VT 191 East for 1.2 miles to Hinman Settler Rd.  Turn RIGHT onto Hinman Settler Rd, proceeding South for 2.2 miles.  After passing Bushey Hill Rd on the left travel another 0.2 miles south, and the access drive will be on your left.",-72.15148988,44.87974814,136,33,1
-73.1824,43.7684,2,Burr Pond,Sudbury,Rutland,F&W,F&W,Boating/Fishing,Small,Gravel,No,Yes,South,Small,All Year,Light,No,Yes,No,No,No,Burr Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,"Take US Route 7 into Brandon where US Route 7 becomes Grove Street.  From Grove Street go West onto Champlain Street/VT Route 73.  Travel West on VT Route 73 for approximately 5 miles, then take a left onto VT Route 30/Route 73 South.  Travel South on VT Route 30 for 4.4 miles, then turn  LEFT onto East Burr Pond Rd and continue for 0.9 miles to the Access Area on the RIGHT.",-73.18239075,43.76844728,74,18,2
-72.1857,44.7224,3,Barton River,Glover,Orleans,F&W,F&W,Fishing,N/A,None,No,Yes,Protected,Small,Spring-Summer,Light,No,No,No,No,No,Barton River,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Take Interstate 91 to Exit 25 in Barton.  Turn south onto VT Route 16 for approximately 1 mile.  The Access Area will be on the RIGHT.,-72.185675,44.722352,0,0,3
-72.3925,43.8163,4,C.C.C. Pond,Sharon,Windsor,FPR,F&W,Boating/Fishing,Small,Gravel,No,Yes,Protected,Small,Spring-Summer,Light,No,No,No,No,No,C.C.C. Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Take Interstate 89 to Exit 2 in Sharon.  Head East on VT Route 132 for 2 miles until the intersection with Beaver Meadow Road.  Turn RIGHT on Beaver Meadow Rd and head East for 0.30 miles until the intersection with Downer Rd.  Turn LEFT onto Downer Rd and travel North for 2.0 miles to the Access Area on the LEFT.,-72.392464,43.816271,8,,4
-71.9225,44.7145,5,Center Pond,Newark,Caledonia,F&W,F&W,Boating/Fishing,Small,Gravel,No,Yes,Protected,Small,Spring-Summer,Light,No,No,No,No,No,Center Pond,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"Take Interstate 91 to Exit 23 in Lyndonville.  Follow US Route 5 (Broad St) North for 1.5 miles.  Turn RIGHT onto Main St. and continue travelling as it turns into LynBurke Rd.  Drive another 5.2 miles to Bugbee Crossing Rd and turn RIGHT.  Drive for 1.9 miles, then turn RIGHT onto Burke Hollow Road., followed by an immediate LEFT onto Sugarhouse Rd, the immediately bear RIGHT onto East Brook Rd. Continue northeast on East Brook Road for 3.8 miles, then turn LEFT onto Maple Ridge Rd. Go 2 miles on Maple Ridge rd, bearing right onto Center Pond Rd and continue 1.2 North to the access drive on the Right.",-71.92250694,44.71446347,80,72,5
-73.1812,44.9702,6,Charcoal Creek,Swanton,Franklin,F&W,F&W,Fishing,N/A,None,No,Yes,Protected,Small,Spring-Summer,Light,No,No,No,No,No,Charcoal Creek,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Take Interstate 89 to Exit 21 and head West on Vermont Route 78 (1st Street) for 0.9 miles to US Route 7.  Turn RIGHT onto US Route 7/ VT Route 78 for 0.1 miles.  Bear left onto State Route 78 (Depot St) crossing the Missisquoi River and continuing of VT Route 78 for 4.5 miles.  Turn right onto Campbell Bay Rd to the Access Area on the RIGHT.,-73.18121983,44.97017581,0,0,6
-72.9211,43.7232,7,Chittenden Reservoir,Chittenden,Rutland,Lease,F&W,Boating/Fishing,Medium,Gravel,No,Yes,North,Medium,All Year,Heavy,No,Yes,Yes,Yes,No,Chittenden Reservoir,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,From Rutland take US Route 4 East (Woodstock Ave.) and travel for 3.7 miles to Meadow Lake Drive.  Turn LEFT on Meadow Lake Drive and travel 1.7 miles to Chittenden Rd.  Turn RIGHT onto Chittenden Road and proceed 2.7 miles.  At the fork veer right onto Dam Rd.  Travel North on Dam Rd for 2 miles to the Chittenden Dam Access Rd.  The Access Area will be on the LEFT at the end of the Access Rd.,-72.92105913,43.72322809,702,46,7
-72.2023,44.6461,8,Clark's Pond,Glover,Orleans,F&W,F&W,Boating/Fishing,Small,Gravel,No,No,Protected,Medium,All Year,Light,No,No,No,No,No,Clark's Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,"Take Interstate 91 to exit 25 in Barton.  Turn south onto VT Route 16, and travel for 6.5 miles.  The Access Area will be on the right.",-72.20233161,44.64608317,33,24,8
-71.9149,44.8017,9,Clyde River,Brighton,Essex,F&W,F&W,Boating/Fishing,Carry-on,None,No,Yes,Protected,Small,Spring,Light,No,No,No,No,No,Clyde River (Brighton),No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"Take Interstate 91 to Exit 28 for Derby.  Take US Route 5 North for 0.5 miles, then turn RIGHT onto VT Route 105/VT Route 5A.  Follow VT Route 105 for 16.7 miles, then turn LEFT onto Five Mile Square Rd.  The Access Area will be on the LEFT, just after the road crosses the Clyde River.",-71.91492586,44.80169872,0,0,9
-71.9739,44.8276,10,Clyde River,Charleston,Orleans,F&W,F&W,Boating/Fishing,Small,Gravel,No,No,Protected,Small,Spring,Light,No,No,No,No,No,Clyde River (Charleston),No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Take Interstate 91 to Exit 28 in Derby.  Turn North onto US Route 5 and continue for approximately 1 mile to the intersection of VT Route 105.  Turn RIGHT onto VT Route 105 and continue for 12 miles to the village of East Charleston.  Continue for approximately 1 mile and then turn LEFT onto 10 Mile Square Rd.  The Access Area will be on your immediate RIGHT after turning onto 10 Mile Square Rd.,-71.97394147,44.82762296,0,0,10
