id,CordX,CordY,WaterBody,Town,County,Owner,Manager,BoatingAccess,BoatSize,RampType,UniversalAccess,BulletinBoard,Exposure1,Exposure2,Parking,Shorefishing,UseVolume,Dock,WinterPlowing,SummerPortolet,WinterPortolet,TempPortolet,AccessName,Bowfin,Carp,ChannelCatfish,WhiteCrappie,LongnoseGar,Muskellunge,WhitePerch,AmericanShad,Sheepshead,LakeWhitefish,BrookTrout,BrownTrout,RainbowTrout,LakeTrout,LandlockedSalmon,RainbowSmelt,YellowPerch,Walleye,NorthernPike,ChainPickerel,LargemouthBass,SmallmouthBass,Bullhead,Panfish,BlackCrappie,Burbot,Directions,LakeArea,MaximumDepth
1,-72.1515,44.8797,Brownington Pond,Brownington,Orleans,F&W,F&W,Yes,Medium,Concrete Plank,No,No,Protected,Protected,Medium,All Year,Light,No,No,No,No,No,Brownington Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,"Take Interstate 91 to Exit 27 in Derby.   Turn East onto Cross Rd (VT Route 191).  Follow VT 191 East for 1.2 miles to Hinman Settler Rd.  Turn RIGHT onto Hinman Settler Rd, proceeding South for 2.2 miles.  After passing Bushey Hill Rd on the left travel another 0.2 miles south, and the access drive will be on your left.",136,33
2,-73.1824,43.7684,Burr Pond,Sudbury,Rutland,F&W,F&W,Yes,Small,Gravel,No,Yes,South,N/A,Small,All Year,Light,No,Yes,No,No,No,Burr Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,"Take US Route 7 into Brandon where US Route 7 becomes Grove Street.  From Grove Street go West onto Champlain Street/VT Route 73.  Travel West on VT Route 73 for approximately 5 miles, then take a left onto VT Route 30/Route 73 South.  Travel South on VT Route 30 for 4.4 miles, then turn  LEFT onto East Burr Pond Rd and continue for 0.9 miles to the Access Area on the RIGHT.",74,18
3,-72.1857,44.7224,Barton River,Glover,Orleans,F&W,F&W,No,N/A,None,No,Yes,Protected,Protected,Small,Spring-Summer,Light,No,No,No,No,No,Barton River,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Take Interstate 91 to Exit 25 in Barton.  Turn south onto VT Route 16 for approximately 1 mile.  The Access Area will be on the RIGHT.,0,0
4,-72.3925,43.8163,C.C.C. Pond,Sharon,Windsor,FPR,F&W,Yes,Small,Gravel,No,Yes,Protected,Protected,Small,Spring-Summer,Light,No,No,No,No,No,C.C.C. Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Take Interstate 89 to Exit 2 in Sharon.  Head East on VT Route 132 for 2 miles until the intersection with Beaver Meadow Road.  Turn RIGHT on Beaver Meadow Rd and head East for 0.30 miles until the intersection with Downer Rd.  Turn LEFT onto Downer Rd and travel North for 2.0 miles to the Access Area on the LEFT.,8,N/A
5,-71.9225,44.7145,Center Pond,Newark,Caledonia,F&W,F&W,Yes,Small,Gravel,No,Yes,Protected,Protected,Small,Spring-Summer,Light,No,No,No,No,No,Center Pond,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"Take Interstate 91 to Exit 23 in Lyndonville.  Follow US Route 5 (Broad St) North for 1.5 miles.  Turn RIGHT onto Main St. and continue travelling as it turns into LynBurke Rd.  Drive another 5.2 miles to Bugbee Crossing Rd and turn RIGHT.  Drive for 1.9 miles, then turn RIGHT onto Burke Hollow Road., followed by an immediate LEFT onto Sugarhouse Rd, the immediately bear RIGHT onto East Brook Rd. Continue northeast on East Brook Road for 3.8 miles, then turn LEFT onto Maple Ridge Rd. Go 2 miles on Maple Ridge rd, bearing right onto Center Pond Rd and continue 1.2 North to the access drive on the Right.",80,72
6,-73.1812,44.9702,Charcoal Creek,Swanton,Franklin,F&W,F&W,No,N/A,None,No,Yes,Protected,Protected,Small,Spring-Summer,Light,No,No,No,No,No,Charcoal Creek,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Take Interstate 89 to Exit 21 and head West on Vermont Route 78 (1st Street) for 0.9 miles to US Route 7.  Turn RIGHT onto US Route 7/ VT Route 78 for 0.1 miles.  Bear left onto State Route 78 (Depot St) crossing the Missisquoi River and continuing of VT Route 78 for 4.5 miles.  Turn right onto Campbell Bay Rd to the Access Area on the RIGHT.,0,0
7,-72.9211,43.7232,Chittenden Reservoir,Chittenden,Rutland,Lease,F&W,Yes,Medium,Gravel,No,Yes,North,N/A,Medium,All Year,Heavy,No,Yes,Yes,Yes,No,Chittenden Reservoir,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,From Rutland take US Route 4 East (Woodstock Ave.) and travel for 3.7 miles to Meadow Lake Drive.  Turn LEFT on Meadow Lake Drive and travel 1.7 miles to Chittenden Rd.  Turn RIGHT onto Chittenden Road and proceed 2.7 miles.  At the fork veer right onto Dam Rd.  Travel North on Dam Rd for 2 miles to the Chittenden Dam Access Rd.  The Access Area will be on the LEFT at the end of the Access Rd.,702,46
8,-72.2023,44.6461,Clark's Pond,Glover,Orleans,F&W,F&W,Yes,Small,Gravel,No,No,Protected,Protected,Medium,All Year,Light,No,No,No,No,No,Clark's Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,"Take Interstate 91 to exit 25 in Barton.  Turn south onto VT Route 16, and travel for 6.5 miles.  The Access Area will be on the right.",33,24
9,-71.9149,44.8017,Clyde River,Brighton,Essex,F&W,F&W,Yes,Carry-on,None,No,Yes,Protected,Protected,Small,Spring,Light,No,No,No,No,No,Clyde River (Brighton),No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"Take Interstate 91 to Exit 28 for Derby.  Take US Route 5 North for 0.5 miles, then turn RIGHT onto VT Route 105/VT Route 5A.  Follow VT Route 105 for 16.7 miles, then turn LEFT onto Five Mile Square Rd.  The Access Area will be on the LEFT, just after the road crosses the Clyde River.",0,0
10,-71.9739,44.8276,Clyde River,Charleston,Orleans,F&W,F&W,Yes,Small,Gravel,No,No,Protected,Protected,Small,Spring,Light,No,No,No,No,No,Clyde River (Charleston),No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Take Interstate 91 to Exit 28 in Derby.  Turn North onto US Route 5 and continue for approximately 1 mile to the intersection of VT Route 105.  Turn RIGHT onto VT Route 105 and continue for 12 miles to the village of East Charleston.  Continue for approximately 1 mile and then turn LEFT onto 10 Mile Square Rd.  The Access Area will be on your immediate RIGHT after turning onto 10 Mile Square Rd.,0,0
11,-72.3253,44.4439,Coits Pond,Cabot,Washington,F&W,F&W,Yes,Carry-on,None,No,Yes,Northwest,N/A,Small,Spring,Light,No,No,No,No,No,Coits Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,"Take Interstate 89 to Exit 8 and follow US Route 2 East approximately 18 miles towards Marshfield.  Veer LEFT onto State Route 215 (a.k.a. Cabot Rd) heading Northeast for 3.2 miles to Hill Pond Rd.  Turn LEFT on Hill Pond Rd and continue for 1.8 miles to Coits Pond Rd.  Continue across the intersection, bearing slightly right and Northeast onto Coits Pond Rd.  Travel for approximately 2.6 miles, past West Hill Pond, to the Coits Pond Access on the LEFT side of the road.",40,7
12,-72.6652,43.4736,Colby Pond,Plymouth,Windsor,F&W,F&W,Yes,Small,Gravel,No,Yes,Protected,Protected,Small,Trout Season Only,Light,No,No,No,No,No,Colby Pond,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Take US Route 4 to West Bridgewater, then turn South onto VT Route 100.  Travel for approximately 10.5 miles, then turn LEFT onto Kingdom Rd and head West.  Continue on Kingdom Rd for approximately 2.3 miles and the Access Area will be on your RIGHT.",20,13
14,-72.8158,43.6967,Colton Pond,Killington,Rutland,F&W,F&W,Yes,Small,Concrete Plank,No,Yes,Protected,Protected,Medium,Spring-Summer,Light,No,No,Yes,No,No,Colton Pond,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,"Take US Route 4, either East from Rutland or West from Woodstock, to Killington, then turn onto VT Route 100 North.  Travel North on VT Route 100 for 2.1 miles, then turn LEFT onto Colton Pond Access Rd and follow to the Access Area.",N/A,N/A
15,-73.2914,44.295,Lake Champlain,Charlotte,Chittenden,F&W,F&W,Yes,Medium,Concrete,No,Yes,Protected,Protected,Large,All Year,Moderate,Yes,Yes,Yes,No,No,Converse Bay,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,"Take US Route 7 to Charlotte, then turn West onto Ferry Rd (VT-F5).  Travel West on Ferry Rd for 1.4 miles, then turn LEFT onto Lake Rd.  Travel South on Lake Rd for 0.9 miles, then turn RIGHT onto Converse Bay Rd.  Travel West on Converse Bay Rd for 0.7 miles, then turn LEFT onto Cedar Beach Rd.  Travel for 0.2 miles and the Access Area will be on the LEFT.",172800,400
16,-72.1459,44.7193,Crystal Lake,Barton,Orleans,F&W,F&W,Yes,Large,Concrete,Yes,Yes,Protected,Protected,Small,All Year,Moderate,Yes,Yes,Yes,Yes,No,Crystal Lake,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,"Take Interstate 91 to Exit 25 in Barton.  Turn onto VT Route 16 North and travel to the center of the village.  Turn RIGHT onto US Route 5 South (Lake Street).  Continue South on US Route 5 South for 2.5 miles, driving alongside Crystal Lake.  The Access Area will be seen on the LEFT at the South end of the lake.",778,115
17,-72.5007,44.3765,Curtis Pond,Calais,Washington,F&W,F&W,Yes,Small,Gravel,No,Yes,Protected,Protected,Small,All Year,Moderate,No,Yes,No,No,No,Curtis Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,From Interstate 89 take Exit 8 in Montpelier onto US Route 2 East.  Travel for 7.8 miles to East Montpelier.  In East Montpelier veer LEFT onto VT Route 14 North and travel for 5.5 miles to Pekin Brook Rd.  Turn LEFT onto Pekin Brook Rd and travel West for 3 miles to Kent Hill Rd.  Turn LEFT onto Kent Hill Rd and travel West for 2 miles to Maple Corners.  At Maple Corners continue straight through the intersection onto Worcester Rd.  Drive for .25 miles and the Access Area will be on the RIGHT.,76,31
18,-72.2572,44.6742,Daniels Pond,Glover,Orleans,F&W,F&W,Yes,Small,Gravel,No,Yes,Protected,Protected,Small,All Year,Light,No,No,No,No,No,Daniels Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,"Take Interstate 91 to Exit 25 in Barton.  Take VT Route 16 South for 2 miles to the village of Glover.  Continue on VT Route 16 South for approximately 3.3 miles, then turn RIGHT onto Shadow Lake Rd.  Continue driving on Shadow Lake Road for 3.4 miles. Veer right onto Daniels Pond Rd and travel for 0.2 mile to the Access Area on the RIGHT.",61,13
19,-73.3453,44.085,Dead Creek,Addison,Addison,F&W,F&W,Yes,Medium,Gravel,No,Yes,Protected,Protected,Large,Spring,Light,No,No,No,No,No,Dead Creek,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,"Take US Route 7 to New Haven Junction, then turn onto VT Route 17 West.  Travel West for 9.5 miles and the Access Area will be on the RIGHT, just before the bridge crossing Dead Creek.",0,0
20,-72.1222,44.9587,Derby Pond,Derby,Orleans,F&W,F&W,Yes,Medium,Concrete Plank,No,Yes,South,N/A,Medium,All Year,Light,No,No,No,No,No,Derby Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,"Take Interstate 91 to Exit 28 in Derby.  Turn onto US Route 5 North, travel for 1.5 miles, then turn RIGHT onto Nelson Hill Rd.  Travel East on Nelson Hill Rd for 0.2 miles and the Access Area will be on the RIGHT.",206,19
21,-73.276,44.9163,Lake Champlain,Alburg,Grand Isle,F&W,F&W,Yes,Small,Gravel,No,Yes,Northeast,N/A,Large,All Year,Moderate,Yes,Yes,Yes,No,No,Dillenbeck Bay,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Take Interstate 89 to Exit 17 and turn onto US Route 2 West, towards the Lake Champlain Islands.  Travel West for 29.4 miles.  The Access Area is on the RIGHT, soon after you pass through the village of South Alburg.",172800,400
22,-72.8298,44.6498,Lamoille River,Cambridge,Lamoille,F&W,F&W,Yes,Carry-on,None,No,No,Protected,Protected,Small,Spring-Summer,Light,No,No,No,No,No,Dorothy Smith,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"From Interstate 89 take Exit 10 for Waterbury/Stowe and head North on VT Route 100 towards Stowe.  Travel North on VT Route 100 for 21.5 miles to the town of Hyde Park.  From Hyde Park follow VT Route 15 West for 13.7 miles to the town of Jeffersonville.  In Jeffersonville turn RIGHT onto VT Route 108 North.  Cross the Iron bridge that spans the Lamoille River, and the Access Area will be just after the bridge on the RIGHT.",0,0
23,-73.0302,43.1791,Dufresne Pond,Manchester,Bennington,F&W,F&W,Yes,Carry-on,None,No,Yes,Protected,Protected,Small,Trout Season Only,Light,No,No,Yes,No,No,Dufresne Dam,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Take US Route 7 to Manchester, then take Exit 4 onto VT Route 11 West.  Travel West for 0.25 miles, then turn RIGHT onto Dufresne Pond Rd.  Travel North on Dufresne Pond Rd for another 0.25 miles and the Access Area will be on the LEFT.",20,N/A
24,-73.0241,43.1817,Dufresne Pond,Manchester,Bennington,F&W,F&W,No,Carry-on,None,No,No,Protected,Protected,Small,Trout Season Only,Light,No,No,No,No,No,Dufresne Pond,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Take US Route 7 to Manchester, then take Exit 4 onto VT Route 11 West.  Travel West for 0.2 miles, then turn RIGHT onto Dufresne Pond Rd.  Travel North on Dufresne Pond Rd for 0.25 miles, then turn RIGHT onto Town Shed Rd.  Travel East on Town Shed Rd for 0.5 miles and the Access Area will be on the LEFT.",20,N/A
25,-71.9898,44.8513,Echo Lake,Charleston,Orleans,F&W,F&W,Yes,Small,Gravel,No,Yes,North,N/A,Small,All Year,Light,No,Yes,Yes,Yes,No,Echo Lake Charleston,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,"Take Interstate 91 to Exit 28 in Derby.  Take US Route 5 East for approximately 1 mile, then turn RIGHT onto VT Route 105 South.  Travel South on VT Route 105 for 11 miles, then turn LEFT onto Church Hill Rd.  Travel North on Church Hill Rd for 1 mile, then turn LEFT onto West Echo Lake Rd.  Travel West on West Echo Lake Rd for 0.25 miles and the access area will be on the LEFT.",544,129
26,-72.7029,43.4756,Echo Lake,Plymouth,Windsor,F&W,F&W,Yes,Medium,Concrete Plank,No,Yes,Protected,Protected,Small,All Year,Moderate,No,Yes,Yes,No,No,Echo Lake Plymouth,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,"Take US Route 4 to West Bridgewater, the turn onto VT Route 100 South.  Travel South for 9 miles and the Access Area will be on the LEFT.",96,91
27,-72.1679,44.3609,Ewell Pond,Peacham,Caledonia,F&W,F&W,Yes,Small,Concrete Plank,No,Yes,Protected,Protected,Small,Spring-Summer,Light,No,No,Yes,Yes,No,Ewell Pond,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"From Interstate 89 take Exit 8 for Montpelier and follow US Route 2 East for  27 miles towards the intersection with VT Route 15 located between East Cabot and Danville.  Just before the interstection turn RIGHT onto Keiser Pond Rd.  Head South on Keiser Pond Rd for 4 miles, then turn LEFT onto Taylor Rd.  Travel East on Taylor Rd for 0.25 mile and the Access Area will be on the RIGHT.",50,60
29,-72.9981,44.7882,Fairfield Swamp,Fairfield,Franklin,F&W,F&W,Yes,Small,Gravel,No,No,Protected,Protected,Small,Spring-Fall,N/A,No,No,No,No,No,Fairfield Swamp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,"From Interstate 89 take Exit 19 for VT Route 104/St. Albans.  Turn RIGHT onto VT Route 104 North/Fairfax Rd and continue for 0.5 miles, then turn RIGHT onto VT Route 36 East.  Travel East for 4 miles to the Access Area on the LEFT, just after the road crosses the creek.",160,N/A
31,-73.3159,44.2218,Lake Champlain,Ferrisburg,Addison,F&W,F&W,Yes,Large,Concrete,No,Yes,Protected,Protected,Large,All Year,Moderate,No,Yes,No,No,Yes,Fort Cassin,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Take US Route 7 to Ferrisburgh, then turn onto Little Chicago Rd, heading West.  Travel for 4 miles, then turn RIGHT onto Sand Rd.  Travel North on Sand Rd for 0.5 miles, the turn LEFT onto Fort Cassin Rd.  Travel West on Fort Cassin Rd for 1 mile, and the Access Area will be on the RIGHT.",172800,400
32,-72.2146,44.3294,Foster Pond,Peacham,Caledonia,F&W,F&W,Yes,Small,Concrete Plank,No,Yes,Protected,Protected,Small,Spring,Light,No,No,Yes,Yes,No,Fosters Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,"From Interstate 89 take Exit 8 in Montpelier onto US Route 2 East.  Travel East for 30.2 miles to Danville.  In Danville turn RIGHT onto Woodward Rd.  Travel South on Woodward Rd, which becomes Bayley Hazen Rd, for 7 miles, then turn RIGHT onto Church St followed by a quick RIGHT onto Macks Mountain Rd.  Travel West on Macks Mtn. Rd for 2.5 miles, then turn LEFT onto Lanesboro Rd.  Travel South on Lanesboro Rd for 0.5 miles, then turn Left onto Foster Pond Rd.  Travel South on Foster Pond Rd for 0.5 miles, then turn left onto Town Highway 63 and continue to the Access Area.",62,13
33,-72.5652,43.823,White River,Royalton,Windsor,F&W,F&W,No,N/A,None,No,Yes,Protected,Protected,Small,Spring-Summer,Light,No,No,No,No,No,Foxstand,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,"Take Interstate 89 to Exit 3 in Royalton.  Off the Exit turn onto  VT Route 107 East for 0.25 miles, then turn RIGHT onto VT Route 14 South.  Travel South on VT Route 14 for 0.25 miles, then turn RIGHT onto Royalton Hill Road.  Cross over the railroad tracks and the Access Area will be on the RIGHT just before the iron bridge crossing the White River.",0,0
34,-72.8647,43.1677,Gale Meadows Pond,Winhall,Bennington,F&W,F&W,Yes,Small,Concrete Plank,Yes,Yes,Protected,Protected,Medium,All Year,Moderate,No,No,No,No,No,Gale Meadows Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,"Take US Route 7 to Manchester, then take Exit 4 onto VT Route 30 South/VT Route 11 East.  Follow VT Route 30 South for 12 miles to Bondville.  In Bondville turn LEFT onto River Rd, which just before the Stratton Mountain Access Rd on the right.  Head North on River Rd, which becomes Gale Meadows Rd, for 1.7 miles until the road forks.  At the fork bear LEFT, staying on Gale Meadows Rd, and continue to the Access Area.",195,20
35,-73.2012,43.6741,Lake Bomoseen,Castleton,Rutland,F&W,F&W,Yes,Medium,Concrete,No,Yes,North,N/A,Medium,All Year,Moderate,Yes,Yes,Yes,Yes,No,Thomas Evanoika,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,"Take US Route 4 to Castleton, then take Exit 4 onto VT Route 30 North.  Travel North on VT Route 30 for 4.5 miles, then turn LEFT onto Float Bridge Rd.  Travel West on Float Bridge Rd for 0.5 miles, crossing the bridge, then turn LEFT onto Johnsonspooner Rd.  Travel South On Johnsonspooner Rd for  1 mile and the Access Area will be on the LEFT.",2415,65
